link,skills,salary,experience,name
https://hh.ru/vacancy/49794834?from=vacancy_search_list&query=it,"['Договоры аренды', 'Деловая переписка', 'Договорная работа', 'Аренда объектов', 'Поиск объектов', 'IBM Lotus Notes', 'CRM', 'Уверенный пользователь ПК', 'Аренда помещений', 'Офисная недвижимость', 'Грамотная устная и письменная речь', 'Умение работать в режиме многозадачности', 'Коммерческая недвижимость', 'Составление договоров', 'Деловое общение', 'Аренда недвижимости', 'Урегулирование конфликтов', 'Согласование договоров', 'Дебиторская задолженность', 'Коммерчекая недвижимость', 'Аренда офисных помещений', 'Подбор недвижимости по запросу клиента', 'сдача помещений в аренду', 'Ведение переговоров', 'Навыки переговоров', 'Проведение переговоров', 'Speechwriting']",от 80 000 до 150 000 руб. на руки,3–6 лет,Ведущий менеджер по аренде коммерческой недвижимости
https://hh.ru/vacancy/46024124?from=vacancy_search_list&query=it,"['Финансовая отчетность', '1C: Бухгалтерия', 'Управленческая отчетность', 'ERP Systems', 'Формирование управленческой отчетности', 'Подготовка управленческой отчетности', 'Подготовка отчетов', 'МСФО']",до 150 000 руб. на руки,1–3 года,Финансовый менеджер (управленческая отчетность)
https://hh.ru/vacancy/50108677?from=vacancy_search_list&query=it,"['Английский\xa0— B1 — Средний', 'Английский язык', 'Проектная документация', 'Ведение архива', 'Контроль оформления документов']",от 150 000 руб. на руки,3–6 лет,"Полевой специалист ОТ, ПБ и ООС/HSE FIeld Specialist"
https://hh.ru/vacancy/38811683?from=vacancy_search_list&query=it,[],до 200 000 руб. на руки,3–6 лет,Программист 1С
https://hh.ru/vacancy/46967875?from=vacancy_search_list&query=it,[],от 70 000 до 90 000 руб. на руки,1–3 года,Финансовый менеджер
https://hh.ru/vacancy/49732030?from=vacancy_search_list&query=it,"['Английский\xa0— B2 — Средне-продвинутый', 'Adobe Photoshop', 'Adobe After Effect', 'Английский язык', 'MS PowerPoint', 'Анимация']",от 70 000 руб. до вычета налогов,3–6 лет,Художник-аниматор/Animator
https://hh.ru/vacancy/50190181?from=vacancy_search_list&query=it,"['JavaScript', 'jQuery', 'Git', 'MySQL', 'PHP']",от 110 000 до 150 000 руб. на руки,3–6 лет,Fullstack Developer под Wordpress / Web-разработчик
https://hh.ru/vacancy/50198047?from=vacancy_search_list&query=it,"['Платежные поручения', 'MS Outlook', '1С: Предприятие 8', '1C: Бухгалтерия', 'Участок ""Банк-Клиент""', '1С-Битрикс', '1 БИТ финанс', 'реестр платежей']",от 70 000 до 80 000 руб. на руки,1–3 года,Казначей
https://hh.ru/vacancy/50240620?from=vacancy_search_list&query=it,"['Работа с клиентами', 'Ответственное хранение', 'Знание 1С', 'Больничные листы', 'Проявление тактичности и толерантности']",до 80 000 руб. до вычета налогов,1–3 года,Ведущий инспектор отдела кадров
https://hh.ru/vacancy/50183944?from=vacancy_search_list&query=it,"['Android', 'iOS', 'Agile']",от 200 000 руб. на руки,1–3 года,Тимлид мобильной разработки
