link,names,skills,salary,experience,name
https://hh.ru/vacancy/50182255?from=vacancy_search_list&query=data%20analyst,0,"['B2B Продажи', 'Ведение переговоров', 'Управление проектами', 'Проведение презентаций', 'CRM']",от 180 000 до 250 000 руб. на руки,1–3 года,Старший менеджер по продажам/Руководитель отдела продаж BI-систем
https://hh.ru/vacancy/46049169?from=vacancy_search_list&query=data%20analyst,0,"['Swift', 'iOS']",от 180 000 до 240 000 руб. на руки,1–3 года,Middle iOS Developer
https://hh.ru/vacancy/50602467?from=vacancy_search_list&query=data%20analyst,0,"['Google Analytics', 'Google AdWords', 'Digital Marketing', 'Продвижение сайтов', 'Яндекс.Метрика', 'Яндекс.Директ', 'Веб-аналитика', 'E-Commerce', 'Разработка маркетинговой стратегии', 'Аналитическое мышление', 'Контекстная реклама', 'Yandex Direct', 'WEB аналитика', 'Интернет маркетинг', 'Сквозная аналитика', 'GTM', 'Google Tag Manager']",от 30 000 до 84 000 руб. на руки,1–3 года,Маркетолог/Директолог
https://hh.ru/vacancy/50673248?from=vacancy_search_list&query=data%20analyst,0,"['SEO', 'Продвижение сайтов', 'JS', 'Java Script', 'Работа в команде', 'Постановка задач разработчикам', 'Планирование', 'Работа с SEO провайдерами', 'SSR', 'AngularJS', 'Vue.js', 'React', 'SEO оптимизация', 'Поисковые системы']",от 130 000 руб. на руки,3–6 лет,SEO специалист (Senior / Lead)
https://hh.ru/vacancy/50643076?from=vacancy_search_list&query=data%20analyst,0,"['TypeScript', 'React', 'ООП', 'React hooks', 'Redux', 'PostCSS', 'SCSS']",от 250 000 руб. на руки,1–3 года,Frontend-разработчик (React)
https://hh.ru/vacancy/50509103?from=vacancy_search_list&query=data%20analyst,0,"['Контекстная реклама', 'SEO оптимизация', 'Google AdWords', 'Google Analytics', 'SEO', 'Яндекс.Директ', 'Яндекс.Метрика', 'Интернет-реклама', 'Продвижение сайтов', 'Планирование рекламных кампаний', 'Планирование маркетинговых кампаний', 'Поисковая оптимизация сайтов', 'Маркетинговый анализ', 'WEB аналитика', 'Веб-аналитика', 'Наполнение контентом', 'Копирайтинг', 'Google Data Studio', 'Yandex DataLens', 'Google Search Console', '1С-Битрикс']",от 105 000 до 145 000 руб. на руки,3–6 лет,Интернет-маркетолог | SEO специалист |Руководитель отдела маркетинга
https://hh.ru/vacancy/50586459?from=vacancy_search_list&query=data%20analyst,0,"['Прямой поиск', 'Подбор персонала', 'Оценка кандидатов', 'интервью по компетенциям', 'Участие в ярмарках вакансий']",до 150 000 руб. на руки,1–3 года,Специалист по подбору персонала
https://hh.ru/vacancy/50028974?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Python', 'Tableau', 'Google Data Studio', 'Power BI', 'Google Tag Manager', 'Data Analysis', 'Google Sheets', 'Стратегическое мышление', 'Математический анализ', 'GTM', 'Базы данных', 'MS Power BI', 'Big Data', 'Power Query']",от 40 000 до 65 000 руб. на руки,1–3 года,Junior web-analyst/Младший веб-аналитик
https://hh.ru/vacancy/50434112?from=vacancy_search_list&query=data%20analyst,0,[],от 60 000 до 100 000 руб. на руки,1–3 года,Менеджер по IT
https://hh.ru/vacancy/50107006?from=vacancy_search_list&query=data%20analyst,0,"['Проведение презентаций', 'CRM', 'Развитие продаж', 'Поиск и привлечение клиентов', 'Деловое общение', 'B2B Продажи', 'Активные продажи', 'Холодные продажи', 'Холодные звонки']",от 170 000 руб. до вычета налогов,1–3 года,Менеджер по продажам крупным корпоративным клиентам
https://hh.ru/vacancy/50585514?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Анализ данных', 'Английский язык', 'Бизнес-анализ', 'Проведение опросов']",от 250 000 руб. на руки,3–6 лет,Аналитик продукта
https://hh.ru/vacancy/50607788?from=vacancy_search_list&query=data%20analyst,0,"['MS PowerPoint', 'Управление командой', 'Стратегическое мышление', 'Обучение и развитие', 'Навыки межличностного общения']",от 250 000 до 500 000 руб. на руки,1–3 года,Директор по закупкам/Категорийный директор
https://hh.ru/vacancy/50666808?from=vacancy_search_list&query=data%20analyst,0,"['Управление персоналом', 'Холодные продажи', 'Прямые продажи', 'Поиск и привлечение клиентов', 'рекрутинг, executive search']",от 70 000 до 120 000 руб. на руки,не требуется,Менеджер по подбору/Рекрутер
https://hh.ru/vacancy/50456690?from=vacancy_search_list&query=data%20analyst,0,"['B2B Продажи', 'CRM', 'Навыки продаж', 'Телефонные переговоры', 'Грамотность', 'Ориентация на результат', 'Корпоративные продажи', 'Работа с ключевыми клиентами', 'Ведение клиентской базы', 'Поиск и привлечение клиентов']",от 60 000 до 100 000 руб. на руки,1–3 года,Менеджер по продажам
https://hh.ru/vacancy/50582824?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Google Analytics', 'MS SQL', 'Бухгалтерский учет', 'WEB аналитика']",от 130 000 руб. до вычета налогов,3–6 лет,Ведущий Web аналитик ( удаленно)
https://hh.ru/vacancy/50580915?from=vacancy_search_list&query=data%20analyst,0,[],от 150 000 руб. на руки,1–3 года,Специалист по веб-аналитике
https://hh.ru/vacancy/49944553?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'Google Analytics', 'HTML', 'Big Data', 'CSS']",от 100 000 до 160 000 руб. на руки,не требуется,Аналитик (mobile & web)
https://hh.ru/vacancy/50563789?from=vacancy_search_list&query=data%20analyst,0,"['Google Analytics', 'HTML', 'Анализ данных', 'Google Data Studio', 'Power BI']",от 80 000 до 110 000 руб. до вычета налогов,3–6 лет,Web-аналитик
https://hh.ru/vacancy/49216524?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'MS Visio', 'PostgreSQL', 'Аналитическое мышление', 'Анализ данных', 'SQL Server Management Studio']",от 120 000 до 150 000 руб. на руки,1–3 года,Программист-аналитик
