link,names,skills,salary,experience,name
https://hh.ru/vacancy/50489853?from=vacancy_search_list&query=data%20science,0,"['B2B Продажи', 'Проведение презентаций', 'Ведение переговоров', 'Навыки переговоров', 'Телефонные переговоры', 'Грамотная речь', 'Деловая коммуникация', 'Работа с возражениями', 'Активные продажи', 'Прямые продажи']",от 50 000 до 120 000 руб. на руки,1–3 года,Менеджер по продажам и работе с клиентами
https://hh.ru/vacancy/50461785?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B1 — Средний', 'JavaScript', 'Английский язык', 'Development', 'Problem solving', 'Frontend', 'HTML5', 'CSS', 'JS', 'Git', 'Удаленная работа', 'React.js']",от 2 500 до 4 500 USD до вычета налогов,3–6 лет,Frontend JavaScript Developer
https://hh.ru/vacancy/50419635?from=vacancy_search_list&query=data%20science,0,[],от 80 000 до 130 000 руб. на руки,1–3 года,Инженер 2-ой линии поддержки Аналитического хранилища данных
https://hh.ru/vacancy/50427451?from=vacancy_search_list&query=data%20science,0,"['Английский язык', 'MS PowerPoint', 'Risks assessment', 'Management', 'Internal Control', '1C: Финансы', 'SOX']",до 146 000 руб. до вычета налогов,1–3 года,Internal auditor
https://hh.ru/vacancy/50413557?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Rust', 'Teambuilding', 'Project Expert', 'MS Project Expert']",от 6 000 до 8 500 USD на руки,более 6 лет,Platform Infrastructure Engineer / Node.js
https://hh.ru/vacancy/50424892?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Английский язык', 'B2B Продажи', 'MS PowerPoint', 'Проведение презентаций', 'Подготовка презентаций', 'Product Promotion', 'Market Research', 'Поиск и привлечение клиентов']",от 200 000 до 350 000 руб. до вычета налогов,1–3 года,"Product Marketing Manager (Retail, FMCG, QSR)"
https://hh.ru/vacancy/50370870?from=vacancy_search_list&query=data%20science,0,"['Linux', 'C/C++', 'Многопоточность', 'Algorithms']",от 300 000 до 400 000 руб. на руки,более 6 лет,Senior C++ Developer (remote)
https://hh.ru/vacancy/50363192?from=vacancy_search_list&query=data%20science,0,"['Python', 'SQL', 'Atlassian Jira', 'Atlassian Confluence', 'Kafka', 'Разработка ПО', 'Machine Learning', 'Mathematical Analysis', 'Data Mining: SPSS', 'Data Mining: Statistica', 'Kubernetes', 'Docker', 'ETL', 'Инновационный менеджмент', 'Микросервисы', 'Системная интеграция']",от 300 000 руб. на руки,более 6 лет,Data Architect / Architect DS
https://hh.ru/vacancy/49030293?from=vacancy_search_list&query=data%20science,0,"['UML', 'SQL', 'Ценные бумаги', 'Фондовый рынок', 'Системный анализ', 'Agile', 'Брокер', 'Мобильные приложения', 'микросервисная архитектура', 'REST']",от 220 000 руб. до вычета налогов,1–3 года,System Analyst (Brokerage)
https://hh.ru/vacancy/50480820?from=vacancy_search_list&query=data%20science,0,"['Русский\xa0— C2 — В совершенстве', 'Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Written Translation', 'MS Outlook', 'Project management', 'Education project management', 'ICTs in education', 'Distance Learning', 'Inclusive Education', 'Editing', 'Training & Development', 'Learning & Development', 'Fluent English', 'Teamplayer', 'Reporting', 'Meetings Organization', 'Training', 'Research', 'Writing Skills']",от 70 000 руб. до вычета налогов,3–6 лет,Senior Specialist – Teacher Professional Development and Networking (TPDN)
https://hh.ru/vacancy/44078324?from=vacancy_search_list&query=data%20science,0,"['Управление проектами', 'Бизнес-анализ', 'Аналитические исследования', 'Английский язык', 'BPMN', 'IDEF0', 'Ведение переговоров', 'Бизнес-аналитика']",от 250 000 руб. до вычета налогов,3–6 лет,Бизнес-аналитик (Senior/Lead)
https://hh.ru/vacancy/49259579?from=vacancy_search_list&query=data%20science,0,"['Бизнес-анализ', 'Постановка задач разработчикам', 'User Story', 'Confluence', 'BPMN']",от 150 000 руб. до вычета налогов,1–3 года,Бизнес-аналитик
https://hh.ru/vacancy/50287498?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Git', 'Node.js', 'Английский язык', 'Business English', 'Linux']",от 3 500 до 6 000 USD на руки,3–6 лет,Senior Node.js Developer
https://hh.ru/vacancy/49419049?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— B1 — Средний', 'Python', 'Английский язык', 'Java', 'JavaScript', '.NET Framework']",до 300 000 руб. до вычета налогов,1–3 года,Test Automation Engineer
https://hh.ru/vacancy/50232934?from=vacancy_search_list&query=data%20science,0,[],до 150 000 руб. на руки,3–6 лет,BI-аналитик-Middle (удаленно/офис)
https://hh.ru/vacancy/41189129?from=vacancy_search_list&query=data%20science,0,[],от 300 000 до 400 000 руб. на руки,3–6 лет,Senior Go Developer
https://hh.ru/vacancy/50240524?from=vacancy_search_list&query=data%20science,0,['Английский\xa0— C1 — Продвинутый'],от 6 000 до 8 000 USD на руки,более 6 лет,Senior Golang Developer (remote)
https://hh.ru/vacancy/50242983?from=vacancy_search_list&query=data%20science,0,"['MS Excel', 'Tilda', 'Miro', 'Figma', 'Asana', 'Slack']",от 70 000 руб. на руки,1–3 года,Project Manager Junior
https://hh.ru/vacancy/41680487?from=vacancy_search_list&query=data%20science,0,[],от 250 000 руб. на руки,1–3 года,Golang Developer
https://hh.ru/vacancy/50264275?from=vacancy_search_list&query=data%20science,0,"['Написание научных статей', 'Публичные выступления', 'Организация учебного процесса', 'Обучение', 'Научные исследования']",от 45 000 руб. до вычета налогов,3–6 лет,Доцент кафедры ИСУиА
https://hh.ru/vacancy/50188069?from=vacancy_search_list&query=data%20science,0,"['Python', 'PostgreSQL', 'Django Framework', 'Flask', 'Git']",от 200 000 до 250 000 руб. на руки,3–6 лет,Python Developer middle (удаленно)
https://hh.ru/vacancy/50188611?from=vacancy_search_list&query=data%20science,0,"['Python', 'Git', 'PostgreSQL', 'Flask', 'Docker', 'AWS']",от 3 500 USD на руки,1–3 года,Middle/Senior Python developer
https://hh.ru/vacancy/50366435?from=vacancy_search_list&query=data%20science,0,"['JavaScript', 'TypeScript']",от 220 000 руб. на руки,1–3 года,Frontend Kotlin Developer (Datalore)
https://hh.ru/vacancy/50229437?from=vacancy_search_list&query=data%20science,0,[],от 100 000 до 250 000 руб. до вычета налогов,3–6 лет,Product Mobile Analyst
https://hh.ru/vacancy/49345525?from=vacancy_search_list&query=data%20science,0,"['SQL', 'Анализ данных', 'Business intelligence', 'Системный анализ']",от 200 000 руб. на руки,1–3 года,Системный аналитик (BI)
https://hh.ru/vacancy/50097187?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Business Development', 'Английский язык', 'Sales Management', 'Software sales', 'Upsell', 'Sales Planning', 'Sales Skills', 'C-level engagement', 'Retail risks', 'IT', 'credit management', 'Presentation skills', 'Business English', 'Customer Relationship Management']",до 350 000 руб. до вычета налогов,3–6 лет,Sales Manager
https://hh.ru/vacancy/50112710?from=vacancy_search_list&query=data%20science,0,[],от 70 000 руб. на руки,1–3 года,Shift IP Engineer
https://hh.ru/vacancy/49429609?from=vacancy_search_list&query=data%20science,0,['Английский\xa0— B1 — Средний'],от 250 000 до 350 000 руб. на руки,3–6 лет,Senior Python Developer (cybersecurity)
https://hh.ru/vacancy/50075690?from=vacancy_search_list&query=data%20science,0,"['MS Project', 'Управление проектами', 'Английский язык', 'Работа в команде', 'Scrum', 'Agile Project Management', 'Project management', 'Планирование', 'Проектный менеджмент', 'Организаторские навыки', 'Деловая коммуникация', 'Оперативное планирование']",от 200 000 руб. на руки,1–3 года,Руководитель ИТ-проектов
https://hh.ru/vacancy/50050222?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Веб-программирование', 'HTML', 'MySQL', 'PHP', 'SQL', 'Python', 'Английский язык', 'Работа в команде', 'CSS']",от 160 000 до 260 000 руб. до вычета налогов,более 6 лет,Software Developer/ Full-Stack Engineer со знанием английского
https://hh.ru/vacancy/49927022?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Организаторские навыки', 'Zoom']",от 60 000 до 60 000 руб. на руки,1–3 года,Community Manager (USA)
https://hh.ru/vacancy/49927033?from=vacancy_search_list&query=data%20science,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Communication skills', 'Zoom', 'Организаторские навыки']",от 60 000 до 60 000 руб. на руки,1–3 года,Куратор иностранных студентов (proficient English skills required)
https://hh.ru/vacancy/49981167?from=vacancy_search_list&query=data%20science,0,"['Математический анализ', 'Математическая статистика', 'Бизнес-анализ']",до 150 000 руб. на руки,1–3 года,"Бизнес-аналитик, оценка объектов жилой недвижимости"
