link,names,skills,salary,experience,name
https://hh.ru/vacancy/50145358?from=vacancy_search_list&query=it,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Грамотная речь', 'Деловая коммуникация', 'Организаторские навыки', 'SEO', 'Деловое общение']",от 75 000 до 150 000 руб. до вычета налогов,не требуется,Affiliate Manager / Менеджер по работе с веб-мастерами
https://hh.ru/vacancy/49409278?from=vacancy_search_list&query=it,0,"['Грамотная речь', 'Ведение переговоров', 'B2B Продажи', 'Деловая переписка', 'Поиск и привлечение клиентов']",от 50 000 до 120 000 руб. на руки,1–3 года,Менеджер по продажам (корпоративный отдел)
https://hh.ru/vacancy/46475228?from=vacancy_search_list&query=it,0,"['Linux', 'Mac Os', 'AWS', 'Kubernetes']",от 200 000 руб. до вычета налогов,1–3 года,Ops/System Engineer (Space)
https://hh.ru/vacancy/50205022?from=vacancy_search_list&query=it,0,"['Английский\xa0— C1 — Продвинутый', 'Data Analysis', 'HR Analytics', 'HR Metrics', 'People Management', 'HRIS']",от 1 700 USD на руки,3–6 лет,People Operations Specialist (Remote)
https://hh.ru/vacancy/49704863?from=vacancy_search_list&query=it,0,"['Навыки переговоров', 'Навыки продаж', 'Ведение переговоров', 'Умение работать в команде', 'Грамотная речь', 'Работа с большим объемом информации', 'Поиск информации в интернет', 'Пользователь ПК', 'Проведение презентаций']",от 60 000 руб. на руки,не требуется,Стажер отдела маркетинга
https://hh.ru/vacancy/49571111?from=vacancy_search_list&query=it,0,"['Тайм-менеджмент', 'E-Commerce', 'Управление продажами', 'Подготовка презентаций', 'Retail', 'FMCG Продажи']",от 200 000 до 350 000 руб. до вычета налогов,3–6 лет,Business Development Lead (e-commerce)
https://hh.ru/vacancy/49982522?from=vacancy_search_list&query=it,0,"['Lean Production', 'Мобильные приложения', 'Agile Project Management']",от 150 000 до 250 000 руб. до вычета налогов,3–6 лет,Менеджер по продукту/Product Owner
https://hh.ru/vacancy/50220128?from=vacancy_search_list&query=it,0,"['Docker', 'Git', 'Golang', 'Go', 'Backend']",от 50 000 руб. на руки,не требуется,Junior Go разработчик (Core Team)
https://hh.ru/vacancy/49663841?from=vacancy_search_list&query=it,0,"['Ведение переговоров', 'Телефонные переговоры', 'Проведение презентаций', 'Развитие продаж', 'Длинный цикл сделки']",от 100 000 до 200 000 руб. на руки,1–3 года,Менеджер по продажам мультимедиа
https://hh.ru/vacancy/50096787?from=vacancy_search_list&query=it,0,['Английский\xa0— B2 — Средне-продвинутый'],от 270 000 до 380 000 руб. на руки,3–6 лет,Senior .NET разработчик
https://hh.ru/vacancy/49854624?from=vacancy_search_list&query=it,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Английский язык', 'QA', 'Team management', 'Тестирование', 'Нагрузочное тестирование', 'ООП', 'Test automation', 'Управление эффективностью']",до 4 000 EUR до вычета налогов,3–6 лет,QA Automation Lead
https://hh.ru/vacancy/49730545?from=vacancy_search_list&query=it,0,"['Git', 'Agile Project Management', 'Atlassian Jira', 'Английский язык', 'Python', 'Тестирование', 'Функциональное тестирование']",от 70 000 до 120 000 руб. на руки,1–3 года,"Middle QA Engineer / Инженер по тестированию (удалённо, ИТ-разработка для крупного бизнеса)"
https://hh.ru/vacancy/49548295?from=vacancy_search_list&query=it,0,"['Английский\xa0— B2 — Средне-продвинутый', 'Подбор персонала', 'Рекрутмент', 'Взаимодействие с ВУЗами', 'Управление персоналом', 'Организаторские навыки']",от 100 000 до 120 000 руб. на руки,1–3 года,HR менеджер
https://hh.ru/vacancy/48059624?from=vacancy_search_list&query=it,0,"['Настройка ПО', 'Ремонт ПК', 'Настройка ПК']",от 83 900 руб. до вычета налогов,1–3 года,Специалист по технической поддержке (м.Киевская)
https://hh.ru/vacancy/48482174?from=vacancy_search_list&query=it,0,"['Работа с большим объемом информации', 'Деловое общение', 'Английский язык', 'Разработка технических заданий', 'Умение принимать решения']",до 160 000 руб. на руки,3–6 лет,"Ведущий технический писатель (ГОСТ 19, ГОСТ 34)"
https://hh.ru/vacancy/47775113?from=vacancy_search_list&query=it,0,"['Активные продажи', 'Работа в команде', 'Навыки продаж', 'Прямые продажи', 'Обучение персонала', 'Проведение тренинга для новых сотрудников', 'Тренинги по работе с клиентами']",от 40 000 до 80 000 руб. на руки,1–3 года,Бизнес-тренер (удаленно)
https://hh.ru/vacancy/49916297?from=vacancy_search_list&query=it,0,"['Product Management', 'B2B Продажи', 'b2b исследования', 'Analytical skills', 'Digital Marketing']",до 150 000 руб. на руки,1–3 года,Product Manager Junior / Middle
https://hh.ru/vacancy/49419077?from=vacancy_search_list&query=it,0,"['Подготовка презентаций', 'Деловая переписка', 'Деловое общение', 'Деловая коммуникация', 'Организаторские навыки', 'Организация совещаний', 'Грамотность', 'Внутренняя документация', 'MS PowerPoint', 'MS Visio', 'Грамотная устная и письменная речь', 'Информационные рассылки', 'Ведение деловой переписки', 'Умение работать с большим объемом информации', 'Редактирование текстов', 'Протоколирование', 'Навыки презентации']",от 45 000 до 60 000 руб. на руки,не требуется,Администратор проекта/Координатор
https://hh.ru/vacancy/49104569?from=vacancy_search_list&query=it,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Организационное развитие', 'BPMN', 'MS Outlook', 'Управление бизнес процессами']",от 150 000 до 300 000 руб. на руки,3–6 лет,Бизнес-аналитик
https://hh.ru/vacancy/49492291?from=vacancy_search_list&query=it,0,"['XML', 'SQL', 'Android', 'MS SQL', 'Atlassian Jira']",от 140 000 до 160 000 руб. на руки,1–3 года,Системный аналитик
https://hh.ru/vacancy/49516304?from=vacancy_search_list&query=it,0,"['PHP', 'MySQL', 'HTML', 'CSS', 'Git', 'Разработка CMS']",до 120 000 руб. на руки,1–3 года,PHP-программист
https://hh.ru/vacancy/49926033?from=vacancy_search_list&query=it,0,[],от 51 000 до 75 000 руб. до вычета налогов,не требуется,Инженер по ремонту оргтехники
https://hh.ru/vacancy/50045907?from=vacancy_search_list&query=it,0,"['Мотивация персонала', 'Управление продажами', 'Подбор персонала', 'Управление командой', 'Обучение персонала', 'Лидерство', 'Командообразование', 'Управление персоналом']",от 60 000 до 150 000 руб. до вычета налогов,3–6 лет,Руководитель отдела продаж в IT команду (РОП/менеджер по продажам)
https://hh.ru/vacancy/49751548?from=vacancy_search_list&query=it,0,"['Активные продажи', 'Поиск и привлечение клиентов', 'Навыки продаж', 'Ведение переговоров', 'B2B Продажи']",от 60 000 руб. до вычета налогов,1–3 года,Менеджер по продажам ИТС 1С
https://hh.ru/vacancy/49629407?from=vacancy_search_list&query=it,0,"['Русский\xa0— C2 — В совершенстве', 'Английский\xa0— C1 — Продвинутый', 'Английский язык']",от 300 000 до 500 000 руб. на руки,1–3 года,Sales Manager / Business Development Manager
